Type,Release Year,Purchase Amtount
New,2018,40.02
Original,2017,0
New,2018,26.3
Original,2018,46.22
Original,2018,47.24
New,2017,45.67
Original,2017,0
Original,2018,18.32
Original,2017,28.68
New,2018,23.8
Original,2017,20.99
New,2018,37.26
Original,2018,27.83
New,2018,20.35
Original,2018,5.69
New,2018,26.49
New,2018,17.83
Original,2018,22.87
New,2018,25.25
Original,2018,42.84
Original,2017,0
Original,2018,4.97
Original,2018,6.73
Original,2018,25.48
Original,2018,29.29
New,2018,31.49
Original,2018,18.84
Original,2017,9.98
New,2018,4.01
New,2018,9.31
Original,2018,58.99
Original,2018,65.22
New,2018,20.36
New,2017,4.75
New,2017,29.22
New,2018,14.84
New,2018,18.81
New,2017,54.39
Original,2017,20.76
New,2018,37.62
Original,2017,26.42
New,2017,15.49
Original,2017,23.02
New,2018,99.8
New,2019,46.8
Original,2017,33.98
Original,2017,14.95
New,2017,64.12
New,2018,25.41
New,2018,26.79
New,2017,22.52
Original,2017,40.64
New,2018,8.47
New,2017,57.58
Original,2018,12.6
Original,2018,6.26
New,2018,17.76
Original,2018,15.24
Original,2017,7.55
Original,2017,38.14
Original,2018,27.58
Original,2017,5.7
Original,2018,25.74
Original,2018,6.59
Original,2017,46.08
Original,2017,11.97
Original,2018,39.28
New,2017,15.39
New,2017,54.79
New,2017,24.6
Original,2017,0
New,2017,34.27
New,2020,47.06
New,2017,20.41
New,2017,44.81
New,2018,45.17
Original,2017,13.97
Original,2020,103.81
Original,2017,18.69
Original,2018,14.38
New,2017,12.52
Original,2017,10
Original,2017,33.97
Original,2018,23.98
Original,2018,0
New,2018,0
New,2018,43.95
New,2020,21.19
Original,2017,12.02
Original,2018,19.13
New,2019,0
New,2017,28.21
Original,2018,41.76
New,2018,48.69
Original,2017,16.73
New,2017,30.21
New,2017,24.15
Original,2018,18.24
Original,2017,41.6
New,2018,26.33
Original,2017,11.49
Original,2017,4
Original,2017,11.47
Original,2017,47.74
New,2018,24.24
Original,2018,66.5
Original,2017,5.63
New,2017,30.06
New,2017,15.57
Original,2018,0
New,2017,13.86
New,2018,33.41
Original,2017,25.35
Original,2017,20.76
New,2018,14.26
Original,2018,34.23
New,2017,27.37
Original,2017,84.23
Original,2017,23.89
Original,2018,20.7
Original,2017,39.96
New,2017,79.46
New,2018,24.73
Original,2018,57.48
New,2017,18.44
Original,2017,34.04
Original,2018,4
Original,2017,16.6
New,2017,23.05
Original,2018,80.33
Original,2017,16.35
New,2017,44.2
Original,2018,98.28
New,2018,0
New,2019,36.84
Original,2017,33.94
New,2017,46.41
New,2017,39.91
New,2020,23.06
New,2018,77.25
Original,2018,0
New,2017,10.36
Original,2017,28.74
New,2019,33.55
Original,2018,12.76
New,2018,8.66
New,2017,26.88
Original,2018,11.37
Original,2018,26.99
Original,2018,43.19
New,2017,8.98
New,2017,29.34
Original,2017,17.23
New,2017,26.94
Original,2018,19.13
Original,2017,22.89
New,2019,22.29
Original,2017,6.98
New,2017,5.94
New,2019,7.88
New,2017,19.35
Original,2018,4.81
Original,2018,26.74
Original,2017,15.94
New,2018,0
New,2018,43.26
Original,2018,8.97
New,2018,16.78
Original,2017,4
Original,2017,13.83
New,2018,57.15
New,2017,38.87
Original,2017,49.98
New,2017,25.46
New,2018,13.4
Original,2018,4
Original,2018,30.33
Original,2017,22.41
Original,2017,105.41
New,2018,35.46
New,2018,29.42
New,2017,38.45
New,2018,10.2
New,2017,0
Original,2017,5.28
New,2017,40.33
Original,2017,8.06
New,2017,0
Original,2020,25.31
New,2018,27.9
Original,2018,13.3
Original,2018,14.16
Original,2017,45.03
Original,2018,26.09
New,2019,120.55
New,2017,23.2
Original,2018,15.98
Original,2017,45.42
Original,2018,81.39
Original,2018,20.49
Original,2018,42.64
New,2018,19.45
Original,2018,0
New,2018,78.87
New,2018,14.29
New,2017,4.5
New,2017,9.19
New,2017,15.45
Original,2017,0
Original,2017,0
New,2020,19.29
Original,2018,30.3
Original,2017,38.99
Original,2017,15.19
Original,2017,58.12
Original,2017,79.98
New,2017,38.59
New,2017,14.32
New,2017,9.86
New,2017,14.09
New,2018,105.14
New,2017,15.48
Original,2018,20.03
New,2017,43.4
Original,2018,7.96
New,2018,66.75
New,2017,12.49
Original,2019,0
New,2017,14.81
Original,2018,8.69
Original,2017,52.98
Original,2017,26.8
Original,2018,64.2
Original,2017,26.9
New,2018,48.87
Original,2018,23.24
New,2017,73.04
New,2018,4.67
New,2020,16.64
Original,2018,15.67
Original,2017,11
Original,2019,31.98
New,2018,63.85
Original,2017,26.99
Original,2017,39.99
New,2017,25.79
New,2018,37.91
New,2018,14.82
Original,2017,44.94
Original,2018,0
Original,2018,5.08
Original,2017,26.46
New,2018,9.99
New,2018,30.29
New,2018,7.73
New,2017,3.97
Original,2017,16.65
New,2018,10.79
New,2019,38.27
New,2017,34.67
New,2017,0
Original,2018,35.58
New,2017,9.21
Original,2018,20.22
Original,2018,18.64
Original,2019,48.85
Original,2020,7.34
New,2018,27.77
Original,2017,30.17
New,2018,22.98
New,2018,28.08
Original,2017,26.13
Original,2018,20.92
New,2017,43.4
New,2017,38.23
Original,2017,4.48
Original,2017,39.06
Original,2018,12.93
New,2017,48.62
New,2017,15.03
New,2017,74.47
Original,2018,0
New,2018,33.88
New,2017,17.56
Original,2018,17.83
Original,2017,31.73
Original,2017,31.87
Original,2017,22.47
Original,2018,0
Original,2017,0
Original,2018,40.04
Original,2017,14.63
New,2017,18.31
Original,2019,30.79
Original,2017,12.93
Original,2017,38.99
New,2017,6.87
Original,2018,78.98
Original,2017,4
New,2018,38.05
New,2019,33.02
Original,2017,25.98
New,2018,5.6
Original,2020,10.07
New,2018,22.51
Original,2018,18.35
New,2018,13.9
New,2017,43.52
Original,2020,34.68
New,2017,47.03
Original,2017,6.47
New,2017,24.45
New,2017,54.51
New,2018,30.29
New,2017,27.18
Original,2017,18.99
New,2017,15.2
New,2018,19.75
New,2017,26.53
New,2018,13.31
Original,2018,23.46
Original,2018,9.72
Original,2017,8.13
Original,2017,4.38
Original,2018,14.39
New,2017,31.89
New,2017,26.07
New,2018,41.07
New,2017,97.26
New,2017,27.5
Original,2017,11.2
New,2018,16.16
New,2017,34.65
New,2017,9.8
New,2019,31.62
New,2017,24.11
Original,2017,33.97
New,2018,68.98
New,2018,38.62
Original,2019,0
New,2018,44.26
Original,2018,45.58
Original,2018,9.3
Original,2017,5.76
New,2017,41.1
New,2017,18.36
Original,2018,25.95
Original,2017,5.98
New,2017,19.58
Original,2017,21.4
New,2018,14.52
New,2018,15.49
Original,2017,11.71
Original,2018,35.39
New,2017,14.16
New,2017,38.34
New,2017,24.07
New,2017,55.98
New,2017,7.25
Original,2018,7.38
Original,2017,52.8
Original,2018,15.22
New,2018,16.73
Original,2018,4
New,2018,52.98
Original,2017,43.97
New,2018,4.54
Original,2018,16.94
New,2017,29.68
New,2017,27.09
Original,2017,16.7
New,2018,54.89
New,2018,14.47
New,2017,37.52
New,2017,33.47
New,2018,43.64
New,2018,34.39
Original,2017,74.29
Original,2018,14.04
Original,2018,59.67
Original,2017,33.67
New,2018,34.43
New,2017,18.72
Original,2018,138.99
Original,2018,27.14
Original,2017,6.94
New,2017,0
Original,2018,29.35
New,2020,34.09
New,2017,30.21
New,2018,6.05
Original,2018,30.46
Original,2017,7.11
Original,2017,37.48
New,2017,39.2
Original,2018,11.49
New,2017,8.79
Original,2017,4
New,2017,0
Original,2017,49.94
New,2018,0
New,2017,9.89
New,2017,13.82
New,2018,10.51
Original,2019,85.2
Original,2017,13.99
New,2017,9.88
New,2017,23.92
New,2017,67
Original,2017,33.98
Original,2017,22.98
Original,2018,28.99
New,2017,22.37
Original,2018,28.94
New,2017,40.45
New,2017,0
Original,2017,33.97
New,2017,23.05
New,2018,44.98
New,2017,18.31
Original,2017,38.12
Original,2018,15.96
Original,2017,44.19
New,2017,18.76
New,2017,26.09
New,2017,30.75
New,2018,6.11
New,2018,26.67
Original,2017,12.59
Original,2018,0
Original,2017,51.94
New,2018,39.66
New,2018,20.05
Original,2017,24.04
New,2017,46.31
Original,2018,21.59
New,2017,221.12
Original,2017,0
Original,2017,19.42
Original,2017,4
Original,2017,24.06
New,2017,64.96
Original,2018,8.91
New,2017,25
Original,2020,16.96
New,2017,26.78
Original,2017,15.84
New,2017,8.3
Original,2017,58.98
Original,2018,17.05
Original,2018,22.51
Original,2017,38.11
New,2018,0
Original,2017,0
Original,2018,109.02
New,2019,0
Original,2018,24.25
New,2018,17.86
Original,2018,51.93
New,2017,7.3
New,2017,26.52
New,2017,27.57
Original,2017,16.49
Original,2017,10.17
New,2018,22.39
Original,2018,28.02
Original,2018,8.88
New,2017,4.9
New,2018,6.97
Original,2017,8.15
Original,2017,50
Original,2017,19.99
Original,2018,10.13
New,2017,24
New,2017,45.77
New,2020,38
Original,2017,48.98
New,2017,46.9
New,2017,37.47
New,2018,20.07
New,2018,13.21
New,2018,53.92
New,2017,17.39
Original,2017,45.12
Original,2018,13.49
Original,2018,15.05
Original,2018,42.74
New,2017,18.93
New,2017,48.61
Original,2017,7
Original,2017,40.84
New,2017,19.08
Original,2018,36.19
New,2017,35.71
New,2018,46.8
New,2018,11.44
New,2017,66.15
Original,2017,30.92
New,2018,23.09
Original,2018,40.66
New,2017,32.7
Original,2018,0
New,2017,0
Original,2019,33.78
Original,2018,14.02
Original,2018,14.78
Original,2017,15.85
Original,2018,19.27
New,2019,0
Original,2018,19.63
New,2017,4.26
New,2018,44.27
New,2018,28.67
New,2018,55.99
Original,2017,17.4
New,2018,52.85
New,2017,12.03
New,2017,29.7
Original,2018,44.7
New,2019,0
New,2017,36.28
New,2018,18.86
New,2018,27.38
New,2017,27.58
New,2017,4.31
New,2018,38.97
Original,2018,15.3
New,2018,19.25
Original,2018,39.35
New,2017,12.89
Original,2018,19.73
Original,2017,3.98
New,2017,15.6
New,2018,33.67
Original,2017,17.31
New,2017,4.22
Original,2018,21.92
New,2018,4.35
New,2017,36.31
Original,2017,5.75
New,2018,48.98
Original,2018,17.24
New,2017,0
Original,2018,24.39
Original,2018,0
Original,2018,4
New,2018,24.35
Original,2018,0
Original,2018,22.6
Original,2018,14.66
New,2017,12.48
New,2018,0
New,2018,54.87
New,2018,76.33
New,2018,19.08
New,2019,25.98
Original,2018,0
New,2017,25.29
New,2018,0
New,2017,42.58
Original,2018,14.87
New,2017,11.61
New,2018,13.27
New,2017,25.04
New,2019,30.02
Original,2018,36.48
New,2018,47.49
Original,2018,44.01
New,2018,27.24
New,2018,22.04
New,2019,0
New,2017,24
Original,2017,4.73
Original,2017,21.94
Original,2017,19.66
Original,2017,20.43
New,2020,15.16
Original,2017,73.95
Original,2017,6.2
Original,2018,39.97
New,2018,26.08
New,2017,19.94
New,2017,9.82
Original,2018,50.87
Original,2017,35.12
New,2017,26.54
Original,2017,5.89
Original,2017,36.61
Original,2018,37.64
New,2018,12.27
Original,2017,87.44
New,2017,22.15
New,2018,51.42
Original,2017,45.89
Original,2018,45.81
Original,2017,16.16
Original,2018,30.53
Original,2017,47.7
New,2017,25.68
New,2017,9.82
New,2017,19.81
New,2017,11.32
New,2017,22.61
Original,2018,49.83
Original,2019,42.1
New,2017,30.82
New,2018,153.58
Original,2018,129.49
New,2017,12.76
New,2018,34.24
Original,2017,68.44
Original,2018,17.32
Original,2018,12.14
Original,2017,9.58
New,2017,15.33
New,2017,14.97
New,2018,17.16
New,2018,22.03
New,2017,7.2
Original,2020,0
New,2017,19.35
New,2017,54.8
New,2017,22.77
Original,2017,19.86
New,2017,22.98
New,2018,33.19
New,2018,30.32
Original,2017,13.89
Original,2017,4.99
New,2017,36.59
Original,2017,17.85
New,2017,16.49
Original,2017,4
New,2018,23.26
New,2017,34.68
Original,2017,24.99
New,2017,22.86
New,2017,49.09
Original,2017,37.19
Original,2017,21.65
Original,2020,29.19
Original,2017,39.28
New,2018,0
New,2018,8.35
Original,2017,13.99
New,2017,21.98
Original,2020,0
New,2017,25.58
Original,2018,6.98
New,2018,5.45
New,2017,17.72
Original,2017,37.02
New,2017,24.68
Original,2017,8.5
Original,2018,47.99
New,2018,18.61
New,2017,19.82
New,2018,13.87
Original,2017,0
Original,2018,0
New,2017,32.03
Original,2018,31.24
Original,2017,25.38
New,2018,33.79
Original,2018,17.43
Original,2020,26.94
New,2017,4.54
Original,2017,17.04
Original,2017,29.49
Original,2018,38.95
Original,2017,31.94
Original,2017,4.94
Original,2018,102.16
Original,2017,21.99
Original,2018,4
New,2017,0
New,2017,79.53
Original,2018,10.17
Original,2017,38.98
Original,2018,38.94
Original,2017,27.38
New,2018,28.78
New,2017,38.01
New,2017,31.33
Original,2018,40.01
New,2017,17.87
New,2018,10.84
Original,2018,0
Original,2017,4
New,2017,10.22
Original,2018,15.42
New,2018,0
New,2018,20.1
New,2017,24.37
Original,2018,43.99
Original,2017,26.49
Original,2017,13.09
New,2019,94.67
New,2018,27.44
Original,2018,25.27
New,2018,47.47
New,2017,7.39
New,2018,17.66
Original,2017,15.47
New,2017,24.08
Original,2020,0
New,2018,30.32
Original,2017,15.62
New,2018,54.86
New,2017,27.78
Original,2017,28.45
New,2018,16.95
New,2019,0
Original,2017,13.49
New,2018,18.86
New,2018,31.12
New,2017,9.29
New,2017,33.76
Original,2018,27.72
New,2017,14.54
New,2017,18.69
Original,2017,38.7
New,2018,0
Original,2018,46.35
New,2017,11.47
New,2017,26.78
New,2020,44.4
Original,2018,5.39
New,2018,24.75
Original,2017,60.99
Original,2017,38.99
Original,2017,23.98
New,2019,49.55
Original,2017,13.18
New,2018,36.5
Original,2017,27.04
New,2018,24.89
New,2017,21.66
Original,2017,18.3
New,2018,164.1
Original,2018,10.03
Original,2017,10.47
New,2017,4.96
New,2017,42.71
New,2018,11.06
New,2020,27.19
New,2017,16.88
Original,2018,29.98
Original,2017,46.79
Original,2017,25.97
Original,2018,54.53
New,2017,4.98
New,2018,0
Original,2017,4
Original,2017,11.75
New,2017,19.77
New,2018,18.24
New,2017,42.18
New,2018,5.9
New,2017,4.82
Original,2018,11.74
Original,2017,55.52
Original,2018,102.97
Original,2017,27.17
New,2017,51.17
Original,2017,13.98
Original,2017,15.7
Original,2018,12.71
New,2017,35.77
Original,2017,29.4
Original,2018,37.45
New,2018,26.27
New,2017,4.64
New,2018,28.24
New,2017,5.92
Original,2018,15.99
New,2017,9.35
Original,2018,9.19
Original,2017,21.43
New,2018,36.18
Original,2017,39.38
New,2017,16.58
Original,2018,20.37
Original,2017,13.58
New,2017,33.26
Original,2018,8.82
Original,2017,32.96
Original,2017,18.39
New,2018,6.9
Original,2018,29.76
Original,2017,48.24
Original,2018,36.98
New,2018,49.34
New,2018,42.32
Original,2018,0
Original,2017,4
Original,2018,23.83
Original,2018,10.59
Original,2017,4
New,2018,37.35
Original,2017,18.98
New,2018,44.1
Original,2018,18.94
New,2017,24.49
Original,2017,8.48
Original,2017,23.18
New,2017,31.36
Original,2017,19.79
Original,2017,26.74
Original,2018,13.98
New,2018,38.74
New,2017,17.58
New,2017,31.84
Original,2018,32.5
New,2017,16.32
New,2018,16.56
Original,2017,16.14
Original,2017,18.1
New,2017,39.54
Original,2018,7.56
New,2017,16.14
Original,2017,41.54
New,2017,28.5
New,2017,52.05
New,2018,9.92
New,2020,60.44
Original,2017,20.46
New,2018,17.36
Original,2017,36.25
New,2017,19.74
New,2017,31.16
New,2017,22.55
Original,2017,24.41
New,2018,9.38
New,2017,11.18
New,2018,32.05
Original,2017,17.53
New,2018,4.56
Original,2018,20.91
New,2017,45.65
Original,2018,33.54
Original,2020,39.22
Original,2017,43.83
New,2018,53.57
Original,2017,16.79
New,2020,25.95
Original,2017,36.77
New,2017,47.09
Original,2017,5.11
Original,2018,161.73
Original,2018,9.94
Original,2018,37.98
New,2017,25.03
Original,2018,19.83
New,2017,6.02
New,2017,14.2
New,2017,12.12
New,2018,44.57
New,2017,10.81
Original,2017,30.37
Original,2017,44.99
New,2017,31.25
New,2018,48.38
New,2018,49.6
Original,2017,21.24
Original,2017,15.84
New,2017,35.8
Original,2018,14.39
New,2017,4.93
Original,2018,43.99
Original,2018,4
Original,2018,53.34
New,2017,5.14
New,2018,55.76
New,2018,52.55
Original,2017,22.12
Original,2017,54.33
New,2018,40.11
New,2018,32.47
Original,2017,23.9
Original,2018,0
Original,2020,37.41
New,2018,22.29
Original,2017,41.86
Original,2018,12.14
Original,2018,48.98
Original,2017,17.64
Original,2017,16.24
New,2018,11.53
New,2017,12.57
New,2017,5.29
Original,2017,17.73
New,2017,37.5
New,2018,39.16
New,2017,8.21
New,2018,14.29
Original,2017,5.42
New,2018,13.82
Original,2018,12.89
Original,2017,23.98
New,2017,42.93
Original,2018,43.44
New,2017,0
New,2017,36.67
New,2018,17.15
New,2017,6.6
New,2017,43.69
Original,2017,18.99
Original,2018,47.28
New,2017,19.11
New,2018,29.2
Original,2017,21.24
New,2018,105.79
Original,2017,4.4
New,2017,34.61
Original,2018,4.76
New,2018,28.6
New,2017,16.78
New,2018,30.72
Original,2017,13.76
New,2018,49.57
New,2017,18.62
Original,2018,27.7
New,2018,26.41
Original,2018,0
New,2018,36.5
Original,2017,4
Original,2018,5.46
New,2018,27.39
New,2017,27.26
New,2018,17.43
New,2018,16.1
Original,2017,15.06
Original,2018,29.7
New,2018,14.03
Original,2019,43.43
Original,2018,16.9
New,2017,19.13
New,2017,43.16
New,2018,17.22
New,2018,26.16
New,2017,37.57
New,2017,42.41
Original,2018,20.1
New,2018,9.05
Original,2017,31.3
New,2017,47.44
New,2018,39.23
New,2017,76.02
New,2017,29.98
New,2017,32.75
New,2018,27.1
Original,2017,18.99
New,2017,42.08
New,2018,21.74
New,2018,36.64
Original,2018,0
New,2017,10.39
New,2017,0
New,2018,32.46
New,2017,25.66
Original,2019,0
Original,2017,15.95
New,2020,0
Original,2018,33.33
New,2017,15.04
New,2017,5.68
New,2017,21.04
New,2017,13.57
New,2017,14.65
Original,2018,8.98
Original,2018,26.32
Original,2018,23.41
New,2018,8.49
New,2018,27.94
Original,2017,7.26
New,2017,21.13
Original,2017,4.76
New,2017,8.49
Original,2018,32.31
Original,2017,6.99
Original,2017,4
Original,2018,0
New,2017,35.98
New,2017,20.43
New,2018,0
New,2017,44.34
New,2017,22.77
Original,2017,25.78
New,2017,11.82
New,2018,27.62
Original,2018,21.31
New,2018,45.38
New,2018,56.43
Original,2017,8.96
New,2017,19.35
New,2018,54.39
New,2017,33.92
Original,2018,15.34
Original,2017,21.31
Original,2018,10.29
Original,2018,43.98
New,2018,7.69
Original,2018,37.29
New,2017,31.08
Original,2017,14.18
Original,2017,4.49
New,2018,15.98
New,2017,47.77
Original,2018,18.49
Original,2017,0
Original,2017,14.86
New,2017,20.06
Original,2018,8.84
New,2018,34.53
New,2018,17.92
New,2018,22.11
New,2018,4.91
New,2018,20.12
Original,2018,18.97
New,2017,58.14
Original,2018,18.81
Original,2017,26.29
Original,2017,24.64
New,2018,34.94
Original,2017,13.99
New,2018,19.1
Original,2018,15.08
Original,2017,9.69
New,2018,14.65
New,2017,4.58
New,2018,0
New,2018,47.19
Original,2017,47.84
Original,2018,35.64
New,2020,33.25
New,2017,49.34
Original,2018,0
New,2018,11.02
New,2018,31.01
Original,2018,27.47
New,2018,32.02
Original,2018,14.55
Original,2018,17.26
New,2018,27.48
New,2017,46.43
Original,2017,31.69
Original,2018,50.84
New,2017,35.97
Original,2018,14.82
Original,2017,6.74
Original,2018,24.38
New,2017,5.35
New,2017,49.81
New,2018,15.15
New,2018,21.13
Original,2018,33.94
New,2018,37.55
New,2017,10.03
New,2017,19.06
New,2018,14.09
New,2017,43.92
Original,2017,28.23
New,2017,37.58
New,2018,36.57
New,2018,26.94
Original,2017,16
New,2018,65.09
Original,2017,29.98
New,2018,23.85
Original,2017,38.87
Original,2017,70.18
New,2017,0
New,2018,49.89
Original,2018,0
Original,2018,19.36
New,2017,7.78
Original,2017,19.18
Original,2017,12.98
New,2018,5.86
Original,2018,48.95
New,2018,34.04
Original,2017,4.25
Original,2017,19.94
New,2018,8.83
New,2018,22.71
Original,2018,39.98
Original,2017,0
Original,2018,55.94
Original,2017,7.76
New,2018,15.41
Original,2017,6.3
New,2018,46.32
Original,2018,30.79
Original,2018,22.7
New,2017,18.96
Original,2018,47.59
New,2017,46.53
Original,2018,34.03
New,2018,15.33
New,2017,12.79
Original,2018,4
New,2017,34.14
Original,2017,36.53
New,2018,10.71
New,2018,44.53
Original,2018,46.66
Original,2017,25.35
Original,2017,13.84
New,2017,104.72
New,2018,5.65
New,2017,35.42
Original,2018,12.59
New,2018,125.91
New,2017,0
New,2017,11.72
New,2017,25.21
New,2018,50.55
Original,2018,28.21
Original,2020,19.21
Original,2017,16.93
New,2017,21.18
Original,2017,6.37
New,2018,0
Original,2020,0
Original,2017,115.17
New,2018,20.58
Original,2018,6.96
New,2017,32.42
Original,2018,7.96
New,2017,33.33
New,2017,11.78
Original,2018,33.98
New,2017,18.99
Original,2017,28.65
New,2017,4.45
New,2017,23.38
Original,2019,0
Original,2017,18.45
New,2017,20.12
New,2018,22.01
Original,2019,50.49
New,2018,45.48
New,2018,8.15
New,2017,4.77
Original,2017,33.92
Original,2018,116.85
New,2017,16.76
Original,2017,36.53
Original,2017,30.59
Original,2017,43.99
New,2017,56.87
New,2017,60.16
New,2017,17.83
New,2018,20.45
Original,2018,15.94
New,2017,31.69
New,2018,24.43
New,2017,26.86
Original,2018,30.13
Original,2017,24.2
Original,2017,27.65
Original,2017,14.94
Original,2018,15.68
Original,2018,17.02
New,2017,54.3
Original,2018,22.07
Original,2018,75.03
New,2018,31.57
Original,2018,39.54
New,2018,4.24
New,2018,23.52
Original,2017,28.99
Original,2018,50.14
Original,2017,14.38
New,2017,10.7
New,2018,11.25
Original,2017,20.85
New,2018,20.2
Original,2017,17.95
Original,2018,69.29
Original,2020,13.48
New,2017,25.69
New,2018,18.52
Original,2018,4
New,2018,0
Original,2020,11.6
New,2017,25.54
New,2017,12.11
Original,2017,25.89
New,2017,60.34
New,2017,51.44
New,2018,33.77
New,2018,15.6
New,2018,22.85
Original,2018,0
Original,2018,32.39
New,2017,30.43
Original,2018,0
Original,2017,0
New,2018,12.47
Original,2017,0
Original,2017,6.32
Original,2018,33.95
Original,2017,8.63
Original,2017,25.21
New,2017,13.24
New,2018,63.34
Original,2017,33.99
New,2018,46.92
Original,2018,12.7
New,2018,21.37
New,2018,48.91
New,2018,6.83
New,2017,5.61
New,2017,22.6
Original,2017,28.23
Original,2018,83.19
Original,2018,5.98
Original,2018,19.27
New,2017,45.67
New,2017,25.62
Original,2017,52.97
Original,2018,27.04
Original,2017,19.94
New,2019,32.43
New,2018,49.93
Original,2018,58.98
New,2018,9.24
New,2018,28.26
Original,2018,45.98
New,2017,13.17
New,2018,42.48
New,2017,6.34
New,2017,18.59
Original,2020,38.98
New,2017,47.37
New,2017,8.29
New,2018,0
Original,2017,7.48
New,2017,5.8
Original,2019,46.47
New,2017,20.03
Original,2017,52.23
Original,2018,31.84
Original,2018,27.09
New,2018,44.81
New,2018,20.23
New,2017,14.54
Original,2017,12.16
New,2020,36.76
Original,2017,21.48
Original,2017,5.39
Original,2017,26.34
Original,2017,43.5
New,2017,36.15
Original,2017,108.12
Original,2018,51.6
Original,2019,31.62
Original,2017,23.95
New,2018,32.66
Original,2020,0
New,2018,39.03
New,2017,29.58
New,2017,53.36
Original,2018,46.57
Original,2018,0
New,2017,23.29
Original,2018,54.25
Original,2017,31.67
New,2018,12.34
New,2017,18.97
Original,2017,3.99
Original,2017,0
Original,2018,16.68
New,2017,13
New,2017,11.64
Original,2019,53.14
Original,2020,13.97
New,2018,35.55
Original,2018,18.4
Original,2018,54.95
Original,2019,0
New,2017,48.99
Original,2018,16.45
New,2017,12.17
New,2018,19.54
Original,2017,45.04
Original,2017,21.34
Original,2017,15.35
Original,2018,9.13
Original,2020,0
Original,2017,45.99
Original,2020,54.3
Original,2017,10.22
Original,2017,57.48
Original,2017,17.39
Original,2018,48.75
Original,2017,27.06
New,2018,14.75
Original,2017,8.4
New,2018,20.04
New,2018,18.83
New,2017,30.09
New,2017,16.77
Original,2018,54.61
New,2018,11.66
New,2018,22.04
New,2017,35.72
New,2018,19.04
Original,2020,15.44
New,2017,40.28
Original,2018,0
Original,2020,33
Original,2017,17.1
Original,2017,28.58
New,2017,31.66
Original,2018,48.98
Original,2017,4.98
Original,2018,19.89
Original,2018,141.93
Original,2018,29.29
New,2017,22.63
Original,2017,11.77
Original,2017,45
New,2018,27.99
Original,2017,4
Original,2018,14.98
Original,2018,33.96
New,2017,40.82
New,2018,6.73
New,2017,38.09
Original,2017,35.21
New,2018,16.15
New,2018,16.07
New,2018,47.72
Original,2018,23.99
Original,2017,17.37
Original,2018,22.65
New,2017,0
Original,2018,38.99
New,2017,23.99
New,2017,6.18
New,2017,39.41
Original,2017,88.29
New,2017,28.89
New,2017,8.48
Original,2018,12.74
Original,2017,4
Original,2018,26.94
New,2018,33.92
Original,2018,52.27
New,2018,20.79
New,2018,19.55
Original,2018,18.96
New,2018,0
Original,2017,22.94
New,2018,0
Original,2018,30.73
Original,2017,10.23
Original,2017,34.71
Original,2017,19.78
Original,2017,16.09
Original,2019,44.59
New,2018,35.71
New,2018,12.07
New,2017,30.56
Original,2018,9.98
Original,2018,28.72
New,2018,9.78
New,2017,32.51
Original,2018,10.43
New,2018,31.51
Original,2017,35.13
Original,2017,14.96
Original,2018,25.92
New,2017,18.53
New,2017,4.93
New,2017,35.25
New,2017,23.94
New,2018,30.1
New,2017,44.15
New,2017,13.13
