ID,Gender,Loyal,Age,Class,Flight distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,Satisfaction
71065,Male,Yes,42,Eco,802,3,2,3,3,2,3,2,2,2,3,4,4,3,2,1,7,0
107790,Male,Yes,49,Business,349,1,3,5,5,1,1,1,4,4,4,3,1,4,1,138,113,0
61659,Female,Yes,51,Business,1635,2,2,4,2,3,4,5,4,4,4,4,4,4,5,0,0,1
40005,Female,Yes,56,Eco,575,4,4,4,4,4,1,5,4,4,4,4,3,4,5,0,0,1
88310,Male,Yes,63,Business,2756,2,2,2,2,4,5,4,4,4,4,4,3,4,3,0,0,1
110716,Female,No,18,Eco,849,3,3,3,2,3,3,3,3,3,2,5,4,5,3,6,0,0
41722,Male,Yes,24,Business,695,2,2,3,2,4,4,4,4,2,2,1,3,5,4,0,6,1
119037,Female,Yes,61,Business,2378,2,4,4,4,5,3,4,2,2,2,2,1,2,4,0,0,0
27102,Male,Yes,35,Business,1721,2,5,5,5,2,4,3,2,2,2,2,2,2,1,0,0,0
79947,Male,No,18,Eco,1010,1,1,1,4,3,1,3,3,2,4,3,1,4,3,60,99,0
103111,Male,Yes,30,Eco,666,4,3,5,4,4,5,4,4,1,4,1,4,5,4,0,0,0
21837,Male,No,22,Business,448,4,0,4,4,2,4,2,2,3,2,4,3,4,2,9,2,1
6191,Male,Yes,52,Eco,491,2,1,4,3,3,4,3,3,2,1,4,4,3,3,16,17,0
43164,Male,Yes,30,Business,2013,4,4,4,4,4,4,4,4,2,1,2,4,2,4,0,0,1
32078,Male,Yes,58,Business,3407,4,4,4,4,4,1,1,4,4,4,4,1,4,5,2,4,1
34561,Male,Yes,50,Eco,1617,4,2,5,5,3,4,3,3,4,4,5,5,3,3,0,0,1
50962,Female,Yes,40,Eco,363,3,1,3,3,2,3,2,2,1,1,3,2,4,2,6,1,0
98166,Female,Yes,32,Eco,745,3,5,3,5,1,3,1,1,3,2,5,3,5,1,0,8,0
1584,Male,Yes,51,Business,3395,3,3,3,3,4,4,5,5,5,5,5,5,5,5,0,4,1
103424,Female,Yes,65,Eco,237,2,1,2,4,3,4,4,4,4,2,4,4,4,3,19,12,0
2156,Male,No,44,Business,685,3,3,3,5,1,3,1,1,5,4,5,5,4,1,18,43,0
57731,Male,Yes,42,Business,1754,4,4,4,4,4,4,5,4,4,4,4,3,4,3,0,0,1
112320,Male,Yes,44,Business,3829,1,1,1,1,3,5,5,4,4,4,4,4,4,5,25,25,1
28958,Male,No,23,Eco,679,3,3,3,3,3,4,5,3,5,3,3,5,2,5,142,140,0
46338,Female,No,36,Eco,589,3,0,3,4,5,3,5,5,2,3,2,1,1,5,57,75,0
92851,Female,Yes,46,Eco Plus,1587,0,2,0,3,3,3,3,4,4,0,4,4,4,1,5,0,1
92678,Female,Yes,57,Business,507,5,5,5,5,4,5,5,5,5,5,5,5,5,5,0,0,1
69106,Female,Yes,47,Eco Plus,1389,3,2,2,2,4,4,3,3,3,3,3,2,3,4,0,0,0
94658,Male,No,59,Business,192,3,3,3,4,4,3,4,4,5,3,5,5,5,4,3,0,1
78248,Male,Yes,37,Eco Plus,259,4,4,4,4,4,4,4,4,2,4,3,2,4,4,24,26,0
79817,Male,No,16,Business,1089,0,3,0,1,4,0,4,4,3,4,5,3,5,4,30,1,1
18904,Male,Yes,23,Eco,448,3,4,3,4,5,3,5,5,4,4,5,3,5,5,0,19,0
50746,Male,Yes,22,Eco,421,3,3,3,3,2,3,2,2,2,4,4,4,3,2,0,0,0
46221,Female,Yes,36,Eco,752,4,3,3,3,4,4,4,4,4,4,2,4,2,4,55,59,1
60572,Male,Yes,43,Business,1714,3,1,3,1,4,4,3,3,3,3,3,2,3,4,16,0,0
65510,Male,Yes,31,Business,1616,3,3,3,3,1,2,1,1,3,5,5,5,4,1,0,0,1
120811,Female,Yes,51,Business,2852,3,3,3,3,1,4,4,4,4,4,4,3,4,2,0,1,1
92462,Male,No,46,Eco,1892,3,3,3,3,2,3,2,2,3,4,4,4,3,2,0,0,0
1328,Female,Yes,47,Business,134,3,3,3,3,4,4,5,5,5,5,5,3,5,4,0,0,1
41691,Male,Yes,29,Eco,347,3,5,3,2,3,3,3,3,3,4,5,4,4,3,0,0,0
128718,Male,Yes,58,Business,1464,2,2,2,2,2,4,4,2,2,2,2,4,2,4,0,0,0
104496,Male,Yes,40,Eco,860,5,1,5,3,3,5,3,3,4,3,3,1,3,3,0,0,1
61178,Female,Yes,60,Business,2483,5,5,5,5,2,4,4,4,4,4,4,4,4,4,3,0,1
11059,Male,Yes,14,Eco,140,3,3,3,3,3,3,3,3,2,4,1,2,2,3,29,24,0
107446,Female,Yes,44,Eco,717,3,4,3,3,4,2,2,5,5,3,5,3,5,5,13,10,0
110954,Female,Yes,21,Eco Plus,545,0,4,0,4,2,0,5,2,3,5,4,4,4,2,0,0,1
90255,Male,No,29,Business,773,5,5,5,1,2,5,2,2,4,4,4,3,4,2,0,0,1
53301,Male,Yes,42,Business,3521,4,1,1,1,1,2,2,4,4,4,4,2,4,2,3,5,0
37985,Male,Yes,40,Eco,1091,4,5,5,5,4,4,4,4,1,3,3,5,1,4,0,0,1
18710,Female,Yes,16,Eco Plus,253,2,2,5,5,2,2,2,2,2,4,3,4,3,2,6,9,0
4276,Male,Yes,13,Eco,502,3,4,4,4,3,3,1,3,3,3,4,3,3,3,23,29,0
65224,Female,Yes,39,Business,1672,5,5,5,5,3,5,5,4,4,5,4,5,4,5,0,0,1
43537,Male,Yes,46,Business,2496,2,2,2,2,3,4,3,2,2,2,2,3,2,2,0,21,0
121328,Male,Yes,51,Eco,1009,3,3,3,2,3,2,2,3,3,2,3,2,4,2,167,150,0
96167,Male,Yes,55,Business,460,3,3,3,3,3,5,5,5,5,5,5,5,5,3,21,21,1
55286,Female,Yes,40,Business,1608,2,5,5,5,4,3,3,2,2,2,2,4,2,1,0,0,0
65664,Female,Yes,51,Business,2613,1,1,1,1,3,5,5,4,4,4,4,5,4,3,0,0,1
56049,Male,Yes,30,Eco,2475,4,2,2,2,4,4,4,1,2,4,4,4,1,4,0,3,0
23989,Male,Yes,20,Eco,595,5,1,1,1,5,5,5,5,5,1,3,3,4,5,0,0,1
83082,Male,Yes,40,Business,3082,3,1,1,1,1,2,1,3,3,3,3,2,3,4,0,0,0
95792,Male,No,20,Business,419,4,4,4,1,5,4,5,5,4,2,5,3,4,5,0,0,1
2116,Female,Yes,39,Business,3974,2,2,2,2,4,4,5,4,4,4,4,4,4,3,0,0,1
6580,Female,No,26,Eco,607,2,3,2,3,2,2,2,2,3,5,3,2,2,2,0,0,0
25014,Male,No,26,Eco,907,3,3,3,2,5,3,4,5,3,1,1,1,4,5,7,2,0
76816,Male,Yes,31,Business,3095,5,5,5,5,5,5,5,5,5,3,5,4,5,5,7,5,1
60890,Male,Yes,56,Eco,1062,2,4,2,3,4,2,4,4,4,4,4,4,4,4,1,0,0
93303,Female,Yes,44,Business,1733,3,3,3,3,2,5,5,5,5,5,5,5,5,3,0,0,1
125879,Female,Yes,61,Business,592,2,5,5,5,2,2,1,2,2,2,2,2,2,1,15,5,0
65487,Female,Yes,59,Eco,1303,3,5,3,3,3,4,4,5,5,3,5,4,5,3,0,0,0
42168,Male,Yes,26,Business,817,2,2,4,2,5,4,5,5,4,2,3,1,3,5,0,0,1
44592,Male,Yes,58,Eco,157,3,5,3,5,1,3,1,1,3,3,4,4,5,1,10,32,0
74287,Male,Yes,47,Eco,788,4,5,5,5,4,4,4,4,5,1,3,2,5,4,0,0,1
11482,Male,Yes,13,Eco Plus,224,2,4,2,5,2,2,3,2,4,3,5,5,5,2,0,0,0
37569,Male,No,37,Eco,676,4,4,4,2,4,4,4,4,1,3,5,1,1,4,0,0,1
49920,Male,No,54,Eco,77,4,0,4,1,5,4,5,5,5,4,5,2,5,5,0,0,0
114966,Male,Yes,58,Business,447,2,2,2,2,4,5,5,5,5,5,5,3,5,4,0,0,1
16378,Male,Yes,25,Eco Plus,1215,4,3,3,3,4,4,3,4,5,2,4,2,1,4,2,0,1
58481,Male,Yes,25,Business,719,1,1,1,1,5,5,5,5,5,3,5,5,5,5,17,1,1
39268,Female,No,55,Eco,67,3,1,3,4,1,3,1,1,2,2,3,2,3,1,3,12,0
120925,Male,Yes,42,Eco,920,3,4,4,4,3,3,3,3,4,5,3,3,3,3,4,0,0
53528,Female,Yes,44,Eco Plus,2442,5,1,1,1,5,5,5,5,1,5,2,5,5,5,1,0,1
55328,Female,Yes,64,Business,717,4,1,1,1,3,3,4,4,4,4,4,2,4,4,0,0,0
19954,Male,Yes,42,Eco,315,3,1,3,2,2,3,1,2,2,3,2,3,2,2,1,0,0
120263,Female,No,42,Eco,237,3,3,3,3,1,3,1,1,3,3,3,2,3,1,93,123,0
97552,Male,Yes,46,Eco Plus,675,2,5,2,2,2,2,2,2,4,3,3,3,4,2,24,9,0
15990,Female,Yes,49,Eco,794,4,2,2,2,1,1,2,5,5,4,5,4,5,1,0,0,1
4670,Male,No,41,Business,364,4,4,4,2,4,4,4,4,3,5,5,5,5,4,0,0,0
117509,Female,Yes,51,Eco,507,4,1,4,4,5,3,3,3,3,4,3,2,3,1,0,0,1
69686,Male,Yes,42,Business,569,4,4,4,4,5,4,5,4,4,4,4,4,4,4,0,0,1
52467,Female,No,40,Business,109,4,4,4,2,1,4,1,1,4,3,1,1,4,1,5,3,1
87152,Male,No,26,Business,946,4,4,4,1,2,4,2,2,3,4,5,5,4,2,0,0,1
23058,Male,Yes,57,Business,820,2,2,3,2,5,2,1,4,4,4,4,5,4,4,0,0,1
60489,Female,Yes,33,Business,862,3,5,5,5,3,2,3,3,3,3,3,2,3,3,0,0,0
88602,Female,Yes,18,Eco,240,2,5,2,3,3,2,1,3,3,3,4,5,5,3,32,27,0
117406,Male,Yes,55,Business,1609,3,3,3,3,3,5,5,5,5,4,5,4,5,4,0,0,1
81672,Female,Yes,56,Business,3524,4,4,4,4,2,5,5,5,5,5,5,5,5,5,0,0,1
79581,Female,Yes,50,Business,1670,2,3,3,3,2,3,3,2,2,2,2,4,2,2,28,23,0
103116,Male,Yes,25,Eco,460,1,4,1,1,2,1,4,2,3,3,4,1,2,2,74,69,0
99455,Male,Yes,48,Business,307,4,2,4,4,4,4,4,4,4,5,4,4,5,4,132,180,1
52246,Male,Yes,39,Business,2344,5,5,3,5,3,3,3,4,4,4,4,1,4,5,0,0,1
11330,Male,Yes,8,Eco,517,1,2,1,4,3,1,3,3,2,3,3,3,4,3,27,19,0
127446,Male,Yes,43,Eco Plus,868,2,2,2,4,2,2,2,2,1,1,3,3,4,2,4,13,0
85959,Female,No,26,Business,528,4,4,4,1,2,4,2,2,4,3,4,5,5,2,0,0,0
55961,Male,Yes,53,Business,1620,4,4,4,4,5,4,5,4,4,4,4,4,4,5,0,5,1
117158,Male,Yes,61,Eco,646,4,3,4,3,3,4,3,3,1,4,4,4,3,3,11,3,0
7669,Female,Yes,42,Business,767,4,4,4,4,3,4,5,5,5,5,5,3,5,5,0,0,1
21581,Male,Yes,70,Eco Plus,331,2,5,2,4,5,2,5,5,3,5,5,3,4,5,22,12,0
